n0010_m05_p050__000.inst -> Ticks: 87423.84 | Time: 59.938 | BnB nodes: 17709 | Status: Feasible
n0010_m05_p050__001.inst -> Ticks: 87312.22 | Time: 59.984 | BnB nodes: 21409 | Status: Feasible
n0010_m05_p050__002.inst -> Ticks: 89183.17 | Time: 59.859 | BnB nodes: 11671 | Status: Feasible
n0010_m05_p050__003.inst -> Ticks: 89401.48 | Time: 59.796 | BnB nodes: 19938 | Status: Feasible
n0010_m05_p050__004.inst -> Ticks: 87224.79 | Time: 59.781 | BnB nodes: 14893 | Status: Feasible
n0010_m05_p075__000.inst -> Ticks: 86240.11 | Time: 59.843 | BnB nodes: 11587 | Status: Feasible
n0010_m05_p075__001.inst -> Ticks: 90151.73 | Time: 59.765 | BnB nodes: 11970 | Status: Feasible
n0010_m05_p075__002.inst -> Ticks: 89062.14 | Time: 59.828 | BnB nodes: 10150 | Status: Feasible
n0010_m05_p075__003.inst -> Ticks: 88847.77 | Time: 59.844 | BnB nodes: 8528 | Status: Feasible
n0010_m05_p075__004.inst -> Ticks: 81186.6 | Time: 59.813 | BnB nodes: 9909 | Status: Feasible
n0010_m05_p090__000.inst -> Ticks: 86023.89 | Time: 59.765 | BnB nodes: 2508 | Status: Feasible
n0010_m05_p090__001.inst -> Ticks: 90912.65 | Time: 59.906 | BnB nodes: 4733 | Status: Feasible
n0010_m05_p090__002.inst -> Ticks: 89589.22 | Time: 59.89 | BnB nodes: 7180 | Status: Feasible
n0010_m05_p090__003.inst -> Ticks: 90491.34 | Time: 59.781 | BnB nodes: 7341 | Status: Feasible
n0010_m05_p090__004.inst -> Ticks: 87555.27 | Time: 60.031 | BnB nodes: 3397 | Status: Feasible
n0015_m01_p025__000.inst -> Ticks: 59.77 | Time: 0.062 | BnB nodes: 165
n0015_m01_p025__001.inst -> Ticks: 42.47 | Time: 0.062 | BnB nodes: 144
n0015_m01_p025__002.inst -> Ticks: 504.91 | Time: 0.484 | BnB nodes: 1171
n0015_m01_p025__003.inst -> Ticks: 78.87 | Time: 0.094 | BnB nodes: 314
n0015_m01_p025__004.inst -> Ticks: 18.34 | Time: 0.016 | BnB nodes: 47
n0015_m01_p050__000.inst -> Ticks: 19.5 | Time: 0.031 | BnB nodes: 0
n0015_m01_p050__001.inst -> Ticks: 1428.46 | Time: 1.203 | BnB nodes: 2861
n0015_m01_p050__002.inst -> Ticks: 59.87 | Time: 0.046 | BnB nodes: 48
n0015_m01_p050__003.inst -> Ticks: 49.45 | Time: 0.062 | BnB nodes: 0
n0015_m01_p050__004.inst -> Ticks: 70.8 | Time: 0.078 | BnB nodes: 55
n0015_m01_p075__000.inst -> Ticks: 64.69 | Time: 0.031 | BnB nodes: 0
n0015_m01_p075__001.inst -> Ticks: 22.7 | Time: 0.015 | BnB nodes: 0
n0015_m01_p075__002.inst -> Ticks: 18.87 | Time: 0.015 | BnB nodes: 0
n0015_m01_p075__003.inst -> Ticks: 138.49 | Time: 0.171 | BnB nodes: 7
n0015_m01_p075__004.inst -> Ticks: 29.76 | Time: 0.046 | BnB nodes: 0
n0015_m01_p090__000.inst -> Ticks: 26.82 | Time: 0.046 | BnB nodes: 0
n0015_m01_p090__001.inst -> Ticks: 18.48 | Time: 0.015 | BnB nodes: 0
n0015_m01_p090__002.inst -> Ticks: 18.45 | Time: 0.031 | BnB nodes: 0
n0015_m01_p090__003.inst -> Ticks: 43.99 | Time: 0.046 | BnB nodes: 18
n0015_m01_p090__004.inst -> Ticks: 52.08 | Time: 0.031 | BnB nodes: 0
n0015_m02_p025__000.inst -> Ticks: 9780.55 | Time: 6.671 | BnB nodes: 1443
n0015_m02_p025__001.inst -> Ticks: 86061.47 | Time: 59.781 | BnB nodes: 15917 | Status: Feasible
n0015_m02_p025__002.inst -> Ticks: 14462.23 | Time: 9.828 | BnB nodes: 1735
n0015_m02_p025__003.inst -> Ticks: 4177.69 | Time: 2.906 | BnB nodes: 1073
n0015_m02_p025__004.inst -> Ticks: 2988.06 | Time: 2.125 | BnB nodes: 1426
n0015_m02_p050__000.inst -> Ticks: 53698.07 | Time: 34.641 | BnB nodes: 10943
n0015_m02_p050__001.inst -> Ticks: 87056.85 | Time: 59.765 | BnB nodes: 37707 | Status: Feasible
