n0025_m04__001.inst -> Ticks: 4177.47 | Time: 4.656 | BnB nodes: 2412
n0025_m04__002.inst -> Ticks: 8279.4 | Time: 9.031 | BnB nodes: 3081
n0025_m04__003.inst -> Ticks: 25349.77 | Time: 26.906 | BnB nodes: 7583
n0025_m04__004.inst -> Ticks: 114383.16 | Time: 116.609 | BnB nodes: 13022
n0025_m05__000.inst -> Ticks: 2265.52 | Time: 2.594 | BnB nodes: 1842
n0025_m05__001.inst -> Ticks: 4001.75 | Time: 4.328 | BnB nodes: 2144
n0025_m05__002.inst -> Ticks: 3166.5 | Time: 3.5 | BnB nodes: 1325
n0025_m05__003.inst -> Ticks: 26131.44 | Time: 25.093 | BnB nodes: 7829
n0025_m05__004.inst -> Ticks: 8365.43 | Time: 8.796 | BnB nodes: 3516
n0030_m01__000.inst -> Ticks: 331.4 | Time: 0.546 | BnB nodes: 516
n0030_m01__001.inst -> Ticks: 802.37 | Time: 1.031 | BnB nodes: 1165
n0030_m01__002.inst -> Ticks: 203.74 | Time: 0.328 | BnB nodes: 1394
n0030_m01__003.inst -> Ticks: 1292.2 | Time: 1.641 | BnB nodes: 1163
n0030_m01__004.inst -> Ticks: 2133.71 | Time: 2.672 | BnB nodes: 1007
n0030_m02__000.inst -> Ticks: 101452.03 | Time: 103.937 | BnB nodes: 26827
n0030_m02__001.inst -> Ticks: 1724.25 | Time: 2.109 | BnB nodes: 757
n0030_m02__002.inst -> Ticks: 9354.4 | Time: 9.453 | BnB nodes: 4217
n0030_m02__003.inst -> Ticks: 19421.31 | Time: 29.359 | BnB nodes: 6783
n0030_m02__004.inst -> Ticks: 17006.99 | Time: 16.703 | BnB nodes: 4647
n0030_m03__000.inst -> Ticks: 439219.63 | Time: 515.796 | BnB nodes: 53063
n0030_m03__001.inst -> Ticks: 44096.54 | Time: 97.125 | BnB nodes: 11717
n0030_m03__002.inst -> Ticks: 200170.4 | Time: 443.89 | BnB nodes: 22430
n0030_m03__003.inst -> Ticks: 49006.72 | Time: 105.625 | BnB nodes: 13088
n0030_m03__004.inst -> Ticks: 5799.23 | Time: 5.906 | BnB nodes: 3545
n0030_m04__000.inst -> Ticks: 26211.38 | Time: 50.235 | BnB nodes: 8413
n0030_m04__001.inst -> Ticks: 31563.48 | Time: 65.813 | BnB nodes: 7370
n0030_m04__002.inst -> Ticks: 5351.68 | Time: 5.531 | BnB nodes: 1940
n0030_m04__003.inst -> Ticks: 646411.1 | Time: 751.484 | BnB nodes: 60502
n0030_m04__004.inst -> Ticks: 78477.35 | Time: 78.468 | BnB nodes: 12799
n0030_m05__000.inst -> Ticks: 9087.73 | Time: 9.375 | BnB nodes: 4282
n0030_m05__001.inst -> Ticks: 11479.35 | Time: 12 | BnB nodes: 5770
n0030_m05__002.inst -> Ticks: 73373.75 | Time: 74.359 | BnB nodes: 8550
n0030_m05__003.inst -> Ticks: 30491.49 | Time: 29.187 | BnB nodes: 4644
n0030_m05__004.inst -> Ticks: 61349.15 | Time: 58.765 | BnB nodes: 8501
n0035_m01__000.inst -> Ticks: 394.65 | Time: 0.515 | BnB nodes: 981
n0035_m01__001.inst -> Ticks: 340.78 | Time: 0.485 | BnB nodes: 531
n0035_m01__002.inst -> Ticks: 726.64 | Time: 1 | BnB nodes: 1053
n0035_m01__003.inst -> Ticks: 653.88 | Time: 0.875 | BnB nodes: 1431
n0035_m01__004.inst -> Ticks: 608.19 | Time: 0.828 | BnB nodes: 734
n0035_m02__000.inst -> Ticks: 36468.78 | Time: 35.703 | BnB nodes: 10311
n0035_m02__001.inst -> Ticks: 4302.06 | Time: 4.5 | BnB nodes: 1470
n0035_m02__002.inst -> Ticks: 3299.05 | Time: 3.422 | BnB nodes: 1712
n0035_m02__003.inst -> Ticks: 6183.36 | Time: 6.359 | BnB nodes: 1675
n0035_m02__004.inst -> Ticks: 25566.1 | Time: 23.25 | BnB nodes: 5054
n0035_m03__000.inst -> Ticks: 28870.23 | Time: 29.781 | BnB nodes: 10645
n0035_m03__001.inst -> Ticks: 345930.69 | Time: 341.078 | BnB nodes: 26055
n0035_m03__002.inst -> Ticks: 95415.85 | Time: 90.765 | BnB nodes: 15529
n0035_m03__003.inst -> Ticks: 8703.72 | Time: 9.5 | BnB nodes: 3151
n0035_m03__004.inst -> Ticks: 50800.78 | Time: 47.64 | BnB nodes: 7597
n0035_m04__000.inst -> Ticks: 384084.04 | Time: 389.765 | BnB nodes: 33155
n0035_m04__001.inst -> Ticks: 242401.82 | Time: 218.015 | BnB nodes: 28056
n0035_m04__002.inst -> Ticks: 80377.48 | Time: 71.046 | BnB nodes: 10131
n0035_m04__003.inst -> Ticks: 637675.65 | Time: 483.296 | BnB nodes: 38576
n0035_m04__004.inst -> Ticks: 97710.04 | Time: 70.546 | BnB nodes: 21575
n0035_m05__000.inst -> Ticks: 113257.25 | Time: 84.531 | BnB nodes: 15541
n0035_m05__001.inst -> Ticks: 42764.99 | Time: 31.5 | BnB nodes: 8912
n0035_m05__002.inst -> Ticks: 68459.15 | Time: 54.421 | BnB nodes: 13912
n0035_m05__003.inst -> Ticks: 19789.56 | Time: 14.25 | BnB nodes: 4051
n0035_m05__004.inst -> Ticks: 45680.01 | Time: 32.531 | BnB nodes: 8929
n0040_m01__000.inst -> Ticks: 596.97 | Time: 0.468 | BnB nodes: 1800
n0040_m01__001.inst -> Ticks: 21235.98 | Time: 15.187 | BnB nodes: 6722
n0040_m01__002.inst -> Ticks: 2196.34 | Time: 1.765 | BnB nodes: 1133
n0040_m01__003.inst -> Ticks: 5411.1 | Time: 4.343 | BnB nodes: 2973
n0040_m01__004.inst -> Ticks: 93.84 | Time: 0.125 | BnB nodes: 203
n0040_m02__000.inst -> Ticks: 436294.63 | Time: 356.11 | BnB nodes: 25577
n0040_m02__001.inst -> Ticks: 482290.82 | Time: 368 | BnB nodes: 23111
n0040_m02__002.inst -> Ticks: 71045.44 | Time: 48.14 | BnB nodes: 9187
n0040_m02__003.inst -> Ticks: 21616.72 | Time: 15.14 | BnB nodes: 8164
n0040_m02__004.inst -> Ticks: 138960.88 | Time: 101.812 | BnB nodes: 11824
n0040_m03__000.inst -> Ticks: 364449.4 | Time: 272.421 | BnB nodes: 32758
n0040_m03__001.inst -> Ticks: 1110740.81 | Time: 887.64 | BnB nodes: 30005
n0040_m03__002.inst -> Ticks: 25365.21 | Time: 20.015 | BnB nodes: 7032
n0040_m03__003.inst -> Ticks: 113676.4 | Time: 84.515 | BnB nodes: 14503
n0040_m03__004.inst -> Ticks: 56145.14 | Time: 40.093 | BnB nodes: 12241
n0040_m04__000.inst -> Ticks: 233097.48 | Time: 175.734 | BnB nodes: 15233
n0040_m04__001.inst -> Ticks: 1300179.58 | Time: 1021.14 | BnB nodes: 49240
n0040_m04__002.inst -> Ticks: 136815.1 | Time: 95.906 | BnB nodes: 14468
n0040_m04__003.inst -> Ticks: 1021497.21 | Time: 760.14 | BnB nodes: 45553
n0040_m04__004.inst -> Ticks: 998695.6 | Time: 756.984 | BnB nodes: 46692
n0040_m05__000.inst -> Ticks: 524587.38 | Time: 368.515 | BnB nodes: 27270
n0040_m05__001.inst -> Ticks: 26556.53 | Time: 18.953 | BnB nodes: 3777
n0040_m05__002.inst -> Ticks: 9147.39 | Time: 6.265 | BnB nodes: 2631
n0040_m05__003.inst -> Ticks: 86184.05 | Time: 62.25 | BnB nodes: 14369
n0040_m05__004.inst -> Ticks: 335951.47 | Time: 236.796 | BnB nodes: 22677
n0045_m01__000.inst -> Ticks: 1003.57 | Time: 0.859 | BnB nodes: 650
n0045_m01__001.inst -> Ticks: 1540.71 | Time: 1.281 | BnB nodes: 1307
n0045_m01__002.inst -> Ticks: 2329.01 | Time: 1.86 | BnB nodes: 1410
n0045_m01__003.inst -> Ticks: 2095.19 | Time: 1.625 | BnB nodes: 1638
n0045_m01__004.inst -> Ticks: 1304.61 | Time: 1.062 | BnB nodes: 1751
n0045_m02__000.inst -> Ticks: 167002.19 | Time: 114.171 | BnB nodes: 16563
n0045_m02__001.inst -> Ticks: 97538.59 | Time: 61.843 | BnB nodes: 13905
n0045_m02__002.inst -> Ticks: 1575554.92 | Time: 1584.06 | BnB nodes: 132657
n0045_m02__003.inst -> Ticks: 7211.99 | Time: 5.156 | BnB nodes: 2260
n0045_m02__004.inst -> Ticks: 275608.07 | Time: 198.046 | BnB nodes: 21729
n0045_m03__000.inst -> Ticks: 213893.84 | Time: 161.593 | BnB nodes: 11292
n0045_m03__001.inst -> Ticks: 101026.94 | Time: 74.14 | BnB nodes: 8418
n0045_m03__002.inst -> Ticks: 415630.68 | Time: 322.891 | BnB nodes: 40371
n0045_m03__003.inst -> Ticks: 680554.73 | Time: 558.359 | BnB nodes: 23282
n0045_m03__004.inst -> Ticks: 1449386.34 | Time: 1308.7 | BnB nodes: 41784
n0045_m04__000.inst -> Ticks: 5705853.18 | Time: 5374.95 | BnB nodes: 110068
n0045_m04__001.inst -> Ticks: 1736593.01 | Time: 1359.97 | BnB nodes: 47240
n0045_m04__002.inst -> Ticks: 384742.0 | Time: 281.031 | BnB nodes: 19552
n0045_m04__003.inst -> Ticks: 2305372.55 | Time: 1835.72 | BnB nodes: 43255
n0045_m04__004.inst -> Ticks: 911643.04 | Time: 670 | BnB nodes: 32983
