n0010_m01_p025__004.inst -> Ticks: 7.2 | Time: 0.015 | BnB nodes: 0
n0010_m01_p050__000.inst -> Ticks: 8.02 | Time: 0.015 | BnB nodes: 0
n0010_m01_p050__001.inst -> Ticks: 21.58 | Time: 0.046 | BnB nodes: 56
n0010_m01_p050__002.inst -> Ticks: 13.79 | Time: 0.046 | BnB nodes: 0
n0010_m01_p050__003.inst -> Ticks: 5.41 | Time: 0.015 | BnB nodes: 0
n0010_m01_p050__004.inst -> Ticks: 26.85 | Time: 0.062 | BnB nodes: 15
n0010_m01_p075__000.inst -> Ticks: 6.56 | Time: 0.016 | BnB nodes: 0
n0010_m01_p075__001.inst -> Ticks: 11.94 | Time: 0.031 | BnB nodes: 0
n0010_m01_p075__002.inst -> Ticks: 7.84 | Time: 0.031 | BnB nodes: 0
n0010_m01_p075__003.inst -> Ticks: 8.23 | Time: 0.031 | BnB nodes: 0
n0010_m01_p075__004.inst -> Ticks: 4.53 | Time: 0.031 | BnB nodes: 0
n0010_m01_p090__000.inst -> Ticks: 3.63 | Time: 0.015 | BnB nodes: 0
n0010_m01_p090__001.inst -> Ticks: 2.79 | Time: 0 | BnB nodes: 0
n0010_m01_p090__002.inst -> Ticks: 8.56 | Time: 0.015 | BnB nodes: 0
n0010_m01_p090__003.inst -> Ticks: 3.97 | Time: 0.015 | BnB nodes: 0
n0010_m01_p090__004.inst -> Ticks: 4.37 | Time: 0.015 | BnB nodes: 0
n0010_m02_p025__000.inst -> Ticks: 33.26 | Time: 0.063 | BnB nodes: 0
n0010_m02_p025__001.inst -> Ticks: 127.75 | Time: 0.234 | BnB nodes: 35
n0010_m02_p025__002.inst -> Ticks: 252.7 | Time: 0.328 | BnB nodes: 481
n0010_m02_p025__003.inst -> Ticks: 128.17 | Time: 0.187 | BnB nodes: 144
n0010_m02_p025__004.inst -> Ticks: 155.98 | Time: 0.235 | BnB nodes: 107
n0010_m02_p050__000.inst -> Ticks: 11722.01 | Time: 10.921 | BnB nodes: 5986
n0010_m02_p050__001.inst -> Ticks: 1606.75 | Time: 1.687 | BnB nodes: 1616
n0010_m02_p050__002.inst -> Ticks: 776.58 | Time: 0.859 | BnB nodes: 985
n0010_m02_p050__003.inst -> Ticks: 297.98 | Time: 0.39 | BnB nodes: 201
n0010_m02_p050__004.inst -> Ticks: 168.8 | Time: 0.265 | BnB nodes: 47
n0010_m02_p075__000.inst -> Ticks: 444.1 | Time: 0.484 | BnB nodes: 435
n0010_m02_p075__001.inst -> Ticks: 34995.3 | Time: 32.828 | BnB nodes: 14009
n0010_m02_p075__002.inst -> Ticks: 1928.0 | Time: 2.109 | BnB nodes: 2556
n0010_m02_p075__003.inst -> Ticks: 1464.77 | Time: 1.765 | BnB nodes: 1356
n0010_m02_p075__004.inst -> Ticks: 8766.32 | Time: 8.218 | BnB nodes: 4084
n0010_m02_p090__000.inst -> Ticks: 4747.3 | Time: 4.75 | BnB nodes: 6061
n0010_m02_p090__001.inst -> Ticks: 5022.5 | Time: 5.046 | BnB nodes: 3231
n0010_m02_p090__002.inst -> Ticks: 58962.68 | Time: 59.796 | BnB nodes: 29346 | Status: Feasible
n0010_m02_p090__003.inst -> Ticks: 20403.03 | Time: 19.094 | BnB nodes: 8402
n0010_m02_p090__004.inst -> Ticks: 31022.94 | Time: 29.922 | BnB nodes: 18474
n0010_m03_p025__000.inst -> Ticks: 982.02 | Time: 1.031 | BnB nodes: 1172
n0010_m03_p025__001.inst -> Ticks: 156.16 | Time: 0.219 | BnB nodes: 290
n0010_m03_p025__002.inst -> Ticks: 3310.07 | Time: 3.375 | BnB nodes: 2883
n0010_m03_p025__003.inst -> Ticks: 215.9 | Time: 0.234 | BnB nodes: 0
n0010_m03_p025__004.inst -> Ticks: 3378.51 | Time: 3.515 | BnB nodes: 3049
n0010_m03_p050__000.inst -> Ticks: 43638.64 | Time: 59.187 | BnB nodes: 15810 | Status: Feasible
n0010_m03_p050__001.inst -> Ticks: 38671.3 | Time: 59.265 | BnB nodes: 11564 | Status: Feasible
n0010_m03_p050__002.inst -> Ticks: 45630.23 | Time: 59.5 | BnB nodes: 15184 | Status: Feasible
n0010_m03_p050__003.inst -> Ticks: 40213.3 | Time: 44.156 | BnB nodes: 34658
n0010_m03_p050__004.inst -> Ticks: 50802.42 | Time: 59.812 | BnB nodes: 19510 | Status: Feasible
n0010_m03_p075__000.inst -> Ticks: 55799.89 | Time: 59.828 | BnB nodes: 26582 | Status: Feasible
n0010_m03_p075__001.inst -> Ticks: 60626.87 | Time: 59.796 | BnB nodes: 22222 | Status: Feasible
n0010_m03_p075__002.inst -> Ticks: 63206.63 | Time: 59.765 | BnB nodes: 28220 | Status: Feasible
n0010_m03_p075__003.inst -> Ticks: 70618.56 | Time: 59.781 | BnB nodes: 23440 | Status: Feasible
n0010_m03_p075__004.inst -> Ticks: 72497.15 | Time: 59.796 | BnB nodes: 19764 | Status: Feasible
n0010_m03_p090__000.inst -> Ticks: 68701.58 | Time: 59.906 | BnB nodes: 16265 | Status: Feasible
n0010_m03_p090__001.inst -> Ticks: 67940.81 | Time: 59.921 | BnB nodes: 13252 | Status: Feasible
n0010_m03_p090__002.inst -> Ticks: 67252.42 | Time: 59.703 | BnB nodes: 16578 | Status: Feasible
n0010_m03_p090__003.inst -> Ticks: 67840.94 | Time: 59.687 | BnB nodes: 12813 | Status: Feasible
n0010_m03_p090__004.inst -> Ticks: 60424.29 | Time: 59.296 | BnB nodes: 8667 | Status: Feasible
n0010_m04_p025__000.inst -> Ticks: 1074.67 | Time: 1.046 | BnB nodes: 600
n0010_m04_p025__001.inst -> Ticks: 58465.3 | Time: 59.515 | BnB nodes: 33014 | Status: Feasible
n0010_m04_p025__002.inst -> Ticks: 42309.6 | Time: 45.468 | BnB nodes: 23874
n0010_m04_p025__003.inst -> Ticks: 3357.17 | Time: 3.546 | BnB nodes: 1886
n0010_m04_p025__004.inst -> Ticks: 57184.64 | Time: 59.671 | BnB nodes: 16012 | Status: Feasible
n0010_m04_p050__000.inst -> Ticks: 58508.43 | Time: 59.625 | BnB nodes: 23881 | Status: Feasible
n0010_m04_p050__001.inst -> Ticks: 36803.91 | Time: 40.344 | BnB nodes: 22275
n0010_m04_p050__002.inst -> Ticks: 42930.98 | Time: 59.391 | BnB nodes: 13111 | Status: Feasible
n0010_m04_p050__003.inst -> Ticks: 14716.51 | Time: 22.328 | BnB nodes: 8497
n0010_m04_p050__004.inst -> Ticks: 39470.08 | Time: 59.562 | BnB nodes: 8280 | Status: Feasible
n0010_m04_p075__000.inst -> Ticks: 16512.02 | Time: 25.735 | BnB nodes: 6008
n0010_m04_p075__001.inst -> Ticks: 30004.4 | Time: 59.453 | BnB nodes: 2849 | Status: Feasible
n0010_m04_p075__002.inst -> Ticks: 28550.38 | Time: 59.562 | BnB nodes: 4217 | Status: Feasible
n0010_m04_p075__003.inst -> Ticks: 26778.91 | Time: 58.953 | BnB nodes: 4346 | Status: Feasible
n0010_m04_p075__004.inst -> Ticks: 26046.42 | Time: 59.484 | BnB nodes: 3542 | Status: Feasible
n0010_m04_p090__000.inst -> Ticks: 28894.96 | Time: 58.343 | BnB nodes: 6294 | Status: Feasible
n0010_m04_p090__001.inst -> Ticks: 27204.06 | Time: 59.578 | BnB nodes: 6033 | Status: Feasible
n0010_m04_p090__002.inst -> Ticks: 35502.14 | Time: 59.593 | BnB nodes: 3322 | Status: Feasible
n0010_m04_p090__003.inst -> Ticks: 43815.04 | Time: 59.609 | BnB nodes: 9086 | Status: Feasible
n0010_m04_p090__004.inst -> Ticks: 45815.03 | Time: 59.656 | BnB nodes: 5974 | Status: Feasible
n0010_m05_p025__000.inst -> Ticks: 47364.6 | Time: 59.734 | BnB nodes: 23359 | Status: Feasible
n0010_m05_p025__001.inst -> Ticks: 50087.61 | Time: 59.703 | BnB nodes: 16009 | Status: Feasible
n0010_m05_p025__002.inst -> Ticks: 45456.12 | Time: 59.531 | BnB nodes: 15423 | Status: Feasible
n0010_m05_p025__003.inst -> Ticks: 42247.64 | Time: 59.485 | BnB nodes: 24520 | Status: Feasible
n0010_m05_p025__004.inst -> Ticks: 42066.02 | Time: 59.343 | BnB nodes: 13212 | Status: Feasible
n0010_m05_p050__000.inst -> Ticks: 47318.56 | Time: 59.547 | BnB nodes: 11089 | Status: Feasible
n0010_m05_p050__001.inst -> Ticks: 46157.95 | Time: 59.625 | BnB nodes: 12793 | Status: Feasible
n0010_m05_p050__002.inst -> Ticks: 50397.27 | Time: 59.75 | BnB nodes: 8279 | Status: Feasible
n0010_m05_p050__003.inst -> Ticks: 53094.4 | Time: 59.046 | BnB nodes: 12385 | Status: Feasible
n0010_m05_p050__004.inst -> Ticks: 41132.4 | Time: 59.14 | BnB nodes: 10396 | Status: Feasible
n0010_m05_p075__000.inst -> Ticks: 37600.04 | Time: 59.515 | BnB nodes: 7611 | Status: Feasible
n0010_m05_p075__001.inst -> Ticks: 44540.94 | Time: 59.719 | BnB nodes: 8275 | Status: Feasible
n0010_m05_p075__002.inst -> Ticks: 47202.97 | Time: 59.5 | BnB nodes: 13114 | Status: Feasible
n0010_m05_p075__003.inst -> Ticks: 48562.68 | Time: 59.485 | BnB nodes: 6898 | Status: Feasible
n0010_m05_p075__004.inst -> Ticks: 46989.46 | Time: 59.546 | BnB nodes: 10270 | Status: Feasible
n0010_m05_p090__000.inst -> Ticks: 44903.7 | Time: 58.937 | BnB nodes: 2326 | Status: Feasible
n0010_m05_p090__001.inst -> Ticks: 56802.81 | Time: 60.062 | BnB nodes: 4151 | Status: Feasible
n0010_m05_p090__002.inst -> Ticks: 48779.86 | Time: 59.843 | BnB nodes: 6019 | Status: Feasible
n0010_m05_p090__003.inst -> Ticks: 64389.33 | Time: 59.937 | BnB nodes: 8504 | Status: Feasible
n0010_m05_p090__004.inst -> Ticks: 75495.3 | Time: 59.984 | BnB nodes: 5074 | Status: Feasible
n0015_m01_p025__000.inst -> Ticks: 30.42 | Time: 0.046 | BnB nodes: 24
n0015_m01_p025__001.inst -> Ticks: 45.66 | Time: 0.046 | BnB nodes: 166
n0015_m01_p025__002.inst -> Ticks: 462.45 | Time: 0.453 | BnB nodes: 1404
n0015_m01_p025__003.inst -> Ticks: 20.17 | Time: 0.015 | BnB nodes: 12
n0015_m01_p025__004.inst -> Ticks: 16.21 | Time: 0.015 | BnB nodes: 19
n0015_m01_p050__000.inst -> Ticks: 22.36 | Time: 0.046 | BnB nodes: 0
n0015_m01_p050__001.inst -> Ticks: 1287.19 | Time: 1.094 | BnB nodes: 2290
n0015_m01_p050__002.inst -> Ticks: 69.18 | Time: 0.078 | BnB nodes: 66
n0015_m01_p050__003.inst -> Ticks: 42.09 | Time: 0.062 | BnB nodes: 0
n0015_m01_p050__004.inst -> Ticks: 46.57 | Time: 0.046 | BnB nodes: 0
n0015_m01_p075__000.inst -> Ticks: 48.9 | Time: 0.062 | BnB nodes: 0
n0015_m01_p075__001.inst -> Ticks: 22.03 | Time: 0.031 | BnB nodes: 0
n0015_m01_p075__002.inst -> Ticks: 20.84 | Time: 0.031 | BnB nodes: 0
