n0030_m03__003.inst -> Ticks: 36988.69 | Time: 29.843
n0030_m03__004.inst -> Ticks: 6412.69 | Time: 4.484
n0030_m04__000.inst -> Ticks: 7664.51 | Time: 5.046
n0030_m04__001.inst -> Ticks: 27177.87 | Time: 19.765
n0030_m04__002.inst -> Ticks: 1864.47 | Time: 1.375
n0030_m04__003.inst -> Ticks: 143277.89 | Time: 96.796
n0030_m04__004.inst -> Ticks: 19966.17 | Time: 13.89
n0030_m05__000.inst -> Ticks: 5869.0 | Time: 4.515
n0030_m05__001.inst -> Ticks: 5429.82 | Time: 3.781
n0030_m05__002.inst -> Ticks: 48847.41 | Time: 33.296
n0030_m05__003.inst -> Ticks: 17974.37 | Time: 11.609
n0030_m05__004.inst -> Ticks: 43232.67 | Time: 27.86
n0035_m01__000.inst -> Ticks: 966.96 | Time: 0.75
n0035_m01__001.inst -> Ticks: 658.57 | Time: 0.578
n0035_m01__002.inst -> Ticks: 638.65 | Time: 0.578
n0035_m01__003.inst -> Ticks: 632.63 | Time: 0.546
n0035_m01__004.inst -> Ticks: 898.56 | Time: 0.75
n0035_m02__000.inst -> Ticks: 21553.98 | Time: 15.921
n0035_m02__001.inst -> Ticks: 6965.26 | Time: 5.062
n0035_m02__002.inst -> Ticks: 1558.71 | Time: 1.156
n0035_m02__003.inst -> Ticks: 2851.4 | Time: 2.156
n0035_m02__004.inst -> Ticks: 28783.06 | Time: 20.5
n0035_m03__000.inst -> Ticks: 30287.7 | Time: 19.578
n0035_m03__001.inst -> Ticks: 96040.18 | Time: 64.39
n0035_m03__002.inst -> Ticks: 21743.04 | Time: 14.109
n0035_m03__003.inst -> Ticks: 6215.74 | Time: 4.593
n0035_m03__004.inst -> Ticks: 18850.64 | Time: 11.796
n0035_m04__000.inst -> Ticks: 68724.29 | Time: 46.796
n0035_m04__001.inst -> Ticks: 276960.91 | Time: 181.609
n0035_m04__002.inst -> Ticks: 83622.85 | Time: 60.578
n0035_m04__003.inst -> Ticks: 155141.83 | Time: 104.343
n0035_m04__004.inst -> Ticks: 32317.45 | Time: 22.89
n0035_m05__000.inst -> Ticks: 87535.06 | Time: 59.281
n0035_m05__001.inst -> Ticks: 15681.29 | Time: 10.062
n0035_m05__002.inst -> Ticks: 38824.93 | Time: 27.796
n0035_m05__003.inst -> Ticks: 7982.43 | Time: 5.546
n0035_m05__004.inst -> Ticks: 16675.69 | Time: 11.218
n0040_m01__000.inst -> Ticks: 168.23 | Time: 0.125
n0040_m01__001.inst -> Ticks: 4558.07 | Time: 3.109
n0040_m01__002.inst -> Ticks: 1773.87 | Time: 1.328
n0040_m01__003.inst -> Ticks: 4003.24 | Time: 3.109
n0040_m01__004.inst -> Ticks: 372.04 | Time: 0.343
n0040_m02__000.inst -> Ticks: 224751.77 | Time: 148.734
n0040_m02__001.inst -> Ticks: 74161.21 | Time: 51.015
n0040_m02__002.inst -> Ticks: 8517.56 | Time: 5.921
n0040_m02__003.inst -> Ticks: 5954.23 | Time: 4.218
n0040_m02__004.inst -> Ticks: 96447.3 | Time: 66.171
n0040_m03__000.inst -> Ticks: 219942.35 | Time: 139.187
n0040_m03__001.inst -> Ticks: 393167.69 | Time: 256.328
n0040_m03__002.inst -> Ticks: 7966.71 | Time: 5.203
n0040_m03__003.inst -> Ticks: 52110.33 | Time: 34.75
n0040_m03__004.inst -> Ticks: 19228.33 | Time: 13.015
n0040_m04__000.inst -> Ticks: 112900.61 | Time: 75.609
n0040_m04__001.inst -> Ticks: 302942.42 | Time: 203.046
n0040_m04__002.inst -> Ticks: 186016.12 | Time: 118.39
n0040_m04__003.inst -> Ticks: 451951.12 | Time: 292.593
n0040_m04__004.inst -> Ticks: 592461.0 | Time: 407.734
n0040_m05__000.inst -> Ticks: 269706.97 | Time: 170.843
n0040_m05__001.inst -> Ticks: 11014.27 | Time: 7.531
n0040_m05__002.inst -> Ticks: 4308.12 | Time: 2.844
n0040_m05__003.inst -> Ticks: 67095.58 | Time: 44.375
