n0030_m03__002.inst -> Ticks: 68741.08 | Time: 45.625 | BnB nodes: 14110
n0030_m03__003.inst -> Ticks: 36988.69 | Time: 30.25 | BnB nodes: 13001
n0030_m03__004.inst -> Ticks: 6412.69 | Time: 4.5 | BnB nodes: 6509
n0030_m04__000.inst -> Ticks: 7664.51 | Time: 5.109 | BnB nodes: 2838
n0030_m04__001.inst -> Ticks: 27177.87 | Time: 19.484 | BnB nodes: 13898
n0030_m04__002.inst -> Ticks: 1864.47 | Time: 1.343 | BnB nodes: 1330
n0030_m04__003.inst -> Ticks: 143277.89 | Time: 98.421 | BnB nodes: 19149
n0030_m04__004.inst -> Ticks: 19966.17 | Time: 13.593 | BnB nodes: 6303
n0030_m05__000.inst -> Ticks: 5869.0 | Time: 4.39 | BnB nodes: 3882
n0030_m05__001.inst -> Ticks: 5429.82 | Time: 3.687 | BnB nodes: 4966
n0030_m05__002.inst -> Ticks: 48847.41 | Time: 34.344 | BnB nodes: 9176
n0030_m05__003.inst -> Ticks: 17974.37 | Time: 11.687 | BnB nodes: 5054
n0030_m05__004.inst -> Ticks: 43232.67 | Time: 28.171 | BnB nodes: 10281
n0035_m01__000.inst -> Ticks: 966.96 | Time: 0.718 | BnB nodes: 1502
n0035_m01__001.inst -> Ticks: 658.57 | Time: 0.593 | BnB nodes: 2035
n0035_m01__002.inst -> Ticks: 638.65 | Time: 0.593 | BnB nodes: 1026
n0035_m01__003.inst -> Ticks: 632.63 | Time: 0.516 | BnB nodes: 1143
n0035_m01__004.inst -> Ticks: 898.56 | Time: 0.734 | BnB nodes: 1284
n0035_m02__000.inst -> Ticks: 21553.98 | Time: 15.906 | BnB nodes: 12702
n0035_m02__001.inst -> Ticks: 6965.26 | Time: 5.062 | BnB nodes: 2400
n0035_m02__002.inst -> Ticks: 1558.71 | Time: 1.171 | BnB nodes: 1229
n0035_m02__003.inst -> Ticks: 2851.4 | Time: 2.093 | BnB nodes: 1591
n0035_m02__004.inst -> Ticks: 28783.06 | Time: 20.281 | BnB nodes: 12843
n0035_m03__000.inst -> Ticks: 30287.7 | Time: 19.515 | BnB nodes: 9416
n0035_m03__001.inst -> Ticks: 96040.18 | Time: 64.078 | BnB nodes: 16460
n0035_m03__002.inst -> Ticks: 21743.04 | Time: 14.078 | BnB nodes: 5880
n0035_m03__003.inst -> Ticks: 6215.74 | Time: 4.5 | BnB nodes: 3972
n0035_m03__004.inst -> Ticks: 18850.64 | Time: 11.687 | BnB nodes: 5397
n0035_m04__000.inst -> Ticks: 68724.29 | Time: 46.594 | BnB nodes: 19516
n0035_m04__001.inst -> Ticks: 276960.91 | Time: 181.953 | BnB nodes: 76817
n0035_m04__002.inst -> Ticks: 83622.85 | Time: 60.906 | BnB nodes: 11916
n0035_m04__003.inst -> Ticks: 155141.83 | Time: 104.296 | BnB nodes: 37238
n0035_m04__004.inst -> Ticks: 32317.45 | Time: 22.828 | BnB nodes: 11300
n0035_m05__000.inst -> Ticks: 87535.06 | Time: 59.609 | BnB nodes: 28227
n0035_m05__001.inst -> Ticks: 15681.29 | Time: 10.14 | BnB nodes: 5151
n0035_m05__002.inst -> Ticks: 38824.93 | Time: 27.968 | BnB nodes: 15023
n0035_m05__003.inst -> Ticks: 7982.43 | Time: 5.64 | BnB nodes: 3217
n0035_m05__004.inst -> Ticks: 16675.69 | Time: 11.203 | BnB nodes: 6491
n0040_m01__000.inst -> Ticks: 168.23 | Time: 0.156 | BnB nodes: 565
n0040_m01__001.inst -> Ticks: 4558.07 | Time: 3.109 | BnB nodes: 1584
n0040_m01__002.inst -> Ticks: 1773.87 | Time: 1.343 | BnB nodes: 1334
